yyyymm,contraction,expansion,financial_stress
199502,0.004627377774634043,0.7449228371153067,0.25044978511005933
199503,0.004889257422444299,0.8924830268826567,0.10262771569489904
199504,0.004394332143404269,0.9045330307370127,0.09107263711958316
199505,0.002608681331270294,0.9106750201063253,0.08671629856240441
199506,0.002575983669744132,0.9121572173005472,0.08526679902970848
199507,0.0027193457913101083,0.924411657520322,0.07286899668836799
199508,0.003102108891162611,0.9215348392563877,0.07536305185244953
199509,0.0036306763799813535,0.9370564896806249,0.059312833939393655
199510,0.0038658750152329438,0.9168177152464849,0.07931640973828222
199511,0.002464057023997995,0.9441337761422095,0.05340216683379251
199512,0.0033947021069491295,0.9509614426827988,0.045643855210251966
199601,0.014322009179570591,0.8462193415692771,0.13945864925115237
199602,0.013773813227172367,0.9106144387771852,0.07561174799564242
199603,0.02598254151598414,0.8125006225976921,0.1615168358863238
199604,0.020376759864254013,0.8823068817482803,0.09731635838746576
199605,0.014388344146373681,0.9147896456078023,0.07082201024582405
199606,0.008642976835818314,0.9419524266108336,0.04940459655334815
199607,0.007136127607012051,0.8078944838829425,0.18496938851004543
199608,0.00798347915638307,0.869969191471389,0.12204732937222805
199609,0.011364600470406772,0.8885295666878672,0.1001058328417261
199610,0.009067510493479357,0.9065175110306096,0.08441497847591084
199611,0.008669549023792777,0.9207913160322804,0.0705391349439269
199612,0.004977864392357011,0.9099842215236664,0.08503791408397653
199701,0.011749661934479976,0.8824256746466534,0.10582466341886643
199702,0.011138237611643153,0.8953789375156151,0.09348282487274172
199703,0.008548107473943852,0.8726844607763564,0.1187674317496997
199704,0.011809384135766491,0.8724489112597725,0.11574170460446094
199705,0.013382984773173527,0.9418083118144821,0.04480870341234429
199706,0.024806665826149193,0.9308463182435979,0.0443470159302529
199707,0.030810216743802816,0.9336352578871263,0.03555452536907071
199708,0.027992502995740746,0.9109647048918523,0.06104279211240686
199709,0.0373854977839978,0.9272608535285974,0.03535364868740476
199710,0.04290775591801913,0.5466102275852991,0.41048201649668187
199711,0.023127970245646418,0.9548151632853569,0.022056866468996794
199712,0.023594371171984683,0.9600135684182213,0.01639206040979397
199801,0.04728465457741445,0.9252171208197705,0.02749822460281498
199802,0.07533920637460037,0.9120929850519288,0.012567808573470824
199803,0.10772624482870316,0.8857300859653103,0.006543669205986436
199804,0.14151779572318604,0.8490953943663981,0.009386809910415808
199805,0.10391090830571377,0.8890210317432534,0.0070680599510328235
199806,0.12199486461223187,0.8711524545155443,0.006852680872223713
199807,0.12972978490328557,0.8628229903573331,0.007447224739381305
199808,0.07479366399660729,0.7081444798433567,0.21706185616003604
199809,0.1453737570799997,0.6439958798660159,0.2106303630539844
199810,0.28558764709370077,0.6846411158527264,0.029771237053572912
199811,0.22039007994459547,0.7660442619284039,0.013565658127000838
199812,0.3874257912660296,0.5948551883401304,0.01771902039384001
199901,0.6294336503291205,0.3523173677948512,0.018248981876028404
199902,0.5452469891587748,0.43402535284966026,0.02072765799156501
199903,0.6476362282413148,0.34284067816898844,0.009523093589696718
199904,0.7324655659643642,0.2599314364151437,0.007602997620492112
199905,0.3248519443050455,0.6677885323193384,0.007359523375615998
199906,0.40308496757011003,0.5924296764904419,0.004485355939447986
199907,0.37567464432384207,0.6183368619934214,0.0059884936827365315
199908,0.3176593619448018,0.6694539027004031,0.012886735354795167
199909,0.29552058872401105,0.6743305132560261,0.03014889801996296
199910,0.2614162487333873,0.690012180238184,0.04857157102842866
199911,0.12770546282916664,0.8611748731823963,0.011119663988437093
199912,0.11014266031482399,0.8858663214555977,0.003991018229578381
200001,0.10414273244915434,0.8641029881617289,0.031754279389116846
200002,0.07730041722538074,0.8872002589057674,0.0354993238688519
200003,0.24659251319124434,0.5385528710892898,0.2148546157194658
200004,0.09703890201989006,0.6769490149228744,0.22601208305723564
200005,0.07883295909486498,0.6796750745669548,0.24149196633818013
200006,0.11966417051937417,0.8062875479380011,0.07404828154262483
200007,0.0463437033850882,0.916686955687097,0.036969340927814814
200008,0.031035973028224324,0.9537344481568295,0.015229578814946002
200009,0.05092178325027141,0.8887946331728737,0.060283583576855
200010,0.0521555080128309,0.712684942862218,0.23515954912495116
200011,0.024080692014514987,0.8118023205136602,0.16411698747182488
200012,0.036006506653461855,0.781979442059027,0.1820140512875111
200101,0.21005365982355712,0.6528718681805955,0.13707447199584732
200102,0.09155239163289634,0.8567055618813963,0.05174204648570741
200103,0.07920455656453339,0.5223972058832694,0.3983982375521972
200104,0.4507216725439496,0.39285865519196705,0.15641967226408324
200105,0.5803322580094287,0.41144625091816384,0.008221491072407529
200106,0.5816997368525451,0.415785265932277,0.002514997215177909
200107,0.6347677291127304,0.36318674221866987,0.002045528668599839
200108,0.8221890710923964,0.176729670417491,0.0010812584901126207
200109,0.9793987731396029,0.019333848285277216,0.0012673785751198044
200110,0.915591444188459,0.0842665788728479,0.00014197693869309188
200111,0.9825844037924044,0.017405777383675863,9.818823919690725e-06
200112,0.9931095541818762,0.006871336169833106,1.9109648290825532e-05
200201,0.9978167207410055,0.002155480897803418,2.7798361191166332e-05
200202,0.9981190258004335,0.0018132624100678067,6.771178949866721e-05
200203,0.9992925024308822,0.0007057639185665773,1.733650551252354e-06
200204,0.9978936102843166,0.0021000511071052326,6.338608578239056e-06
200205,0.9921223891371989,0.007845205395312438,3.2405467488745623e-05
200206,0.975416933795315,0.02447726633682933,0.00010579986785569293
200207,0.9654320463650823,0.015233037552746305,0.019334916082171437
